"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","14.1587354137158","48","7.85804675499232","22.5069282343334"
"2001","14.5132989547773","48","8.05322128851541","22.4918091168091"
"2002","15.0458445011636","48","9.07257518796992","23.2223025583982"
"2003","12.7124733460298","48","7.33706989247312","19.3102826865142"
"2004","12.3219231642719","48","6.98880952380952","18.8581625004939"
"2005","11.6949018411798","48","6.75833333333333","17.9631981723383"
"2006","11.6176236735059","48","6.84721726190476","17.6173252688172"
"2007","11.6904510202688","48","6.1870467032967","18.8772903726708"
"2008","11.7631189800684","48","7.13627529553196","16.3910237778609"
"2009","10.6763739655508","48","5.81666666666666","16.0410187245086"
"2010","9.21001894384492","48","5.94031683523212","13.5757675194661"
"2011","9.96670088745635","48","6.30347813779288","15.4045512820513"
"2012","9.38315691186565","48","5.90372023809524","14.5028859103859"
"2013","10.4693789070699","48","6.64670355691912","15.9259523809524"
"2014","9.63772901037692","48","5.47295933535064","14.7598698449591"
"2015","9.48615437824805","48","5.70959094399687","14.963867604316"
"2016","9.12403072750369","48","5.91969209795899","12.9816666666667"
"2017","10.1448001716992","48","7.09358211233211","15.0319362048366"
"2018","11.4864898487688","48","6.99425597264783","17.135119047619"
"2019","8.11774408039844","48","5.19202998088868","11.3902202447164"
"2020","11.6503093842239","48","6.84811587868653","19.1115394063804"
