"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","16.2475321539445","62","14.0342353128991","18.6478051450465"
"2001","15.8526620894283","62","13.6397817460317","17.8283333333333"
"2002","15.3063431256567","62","13.4482529267466","17.0214660876758"
"2003","14.7373798547725","62","12.810153256705","16.6892816091954"
"2004","13.8179211384774","62","11.8938928571428","15.9133333333333"
"2005","16.2575816615503","62","14.0385511937132","18.7241666666667"
"2006","13.4791196202484","62","11.4898683722655","14.9716071428571"
"2007","14.5885069145203","62","13.1102199792961","16.3455913978494"
"2008","12.6461947398788","62","11.0467861115524","14.18611863711"
"2009","11.5180275174004","62","10.1260241023241","12.9179529877986"
"2010","12.603698424067","62","10.7231034482759","14.1435185185185"
"2011","11.4035714474738","62","9.82218797859135","12.7744883345188"
"2012","10.5669454274656","62","9.26864942528736","12.1318701996928"
"2013","10.064480387145","62","8.88174731182796","11.5571400037161"
"2014","10.3786314384516","62","8.76702701785811","12.0868014413123"
"2015","9.67606027648489","62","8.17330849091583","11.1750165896905"
"2016","8.44578617745276","62","7.26640221774194","9.75046583850932"
"2017","8.24252877426592","62","7.21547460140897","9.54312602627258"
"2018","8.42379370839635","62","7.06016009852217","9.68395593869732"
"2019","8.33880974405637","62","7.05811827956989","9.67584621150963"
"2020","7.94643507087438","62","6.58755952380952","9.54407407407407"
