"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","12.7961439849562","41","10.0384690799397","15.4882192247855"
"2001","12.9731110484782","41","10.4817816091954","15.7882351186159"
"2002","12.3359150155153","41","9.89188058748404","15.6430173992674"
"2003","12.1114860797476","41","9.30134886499403","15.1971076755938"
"2004","10.9195017274621","41","8.35840776992751","13.6635639025725"
"2005","12.9164189790655","41","10.089583958021","16.0074593896028"
"2006","11.2268478780192","41","8.63942528735632","13.2182838608466"
"2007","11.8485339964503","41","9.56973316912972","14.2864479050797"
"2008","10.8069914950292","41","9.46192528735632","12.6473047830923"
"2009","10.0811376185676","41","8.72878197997775","11.5525862595645"
"2010","9.74171469235555","41","8.50199388209121","11.5970140433815"
"2011","9.4678560383249","41","8.38181364674805","10.8957471264368"
"2012","9.21506578211508","41","7.98000463477938","10.6751966470682"
"2013","8.6330390047173","41","7.44024731182796","10.1086827956989"
"2014","8.94129163221461","41","7.1026690821256","10.2385463192721"
"2015","8.36245352272448","41","6.62725435669262","9.72594152232639"
"2016","7.3813433736282","41","6.2101121616611","8.25292176492399"
"2017","7.37058287174947","41","6.06293724474759","8.12288654060067"
"2018","7.98036052331506","41","6.54302368194136","8.89448891625616"
"2019","7.70389971995761","41","6.77832086569299","8.72688651324521"
"2020","7.42003745293708","41","5.84684981684982","8.7558209906036"
