"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","14.8830407394342","70","11.0715100111234","18.7480570607553"
"2001","13.4623626300758","70","10.0037910509031","16.6302519947766"
"2002","12.6762206410051","70","8.99435573294151","15.2918765114733"
"2003","12.5528466719878","70","8.88647293288839","15.1027720652282"
"2004","12.9742084473204","70","9.57223740696168","15.8314141447581"
"2005","13.3549128243574","70","9.42380240611261","16.2233502604644"
"2006","12.9207341544662","70","9.16253882915173","16.0297584706959"
"2007","12.6272830000759","70","9.12906453531684","15.4613504104452"
"2008","10.969495134058","70","7.59582490157113","13.4605348705292"
"2009","9.48917746717297","70","7.12948523250942","11.4679387310457"
"2010","10.3582844080821","70","7.58902540521214","12.435233036321"
"2011","9.89281588079523","70","7.2288822694598","11.9384340767586"
"2012","8.78996753055639","70","6.88775883497065","10.4857980163993"
"2013","8.22850118785162","70","6.193281954613","9.72556974680862"
"2014","8.65997191887266","70","6.41565946603597","10.337421977639"
"2015","7.94753780374862","70","5.79991379310344","9.35003781972477"
"2016","7.79254719634394","70","6.34076205704751","9.26889854847734"
"2017","7.85953752777705","70","6.77270653913089","9.36820600854169"
"2018","7.43755263691315","70","6.48591161163535","8.75433135412974"
"2019","7.75194477922182","70","6.56702788051386","9.06276913722478"
"2020","7.48292431078063","70","6.16033618847258","8.6757576857987"
